ItemID,Status,ItemName,HELPER COLUMN
HI-000405,Active,White Wooden Cross Lge,
HI-000406,Active,Box Of Limits Incl 6 Sections,
HI-000407,Active,Crutches Pair,
HI-000410,Inactive,Speaker Mounting Bkts,
HI-000411,Active,Timber Staff,
HI-000412,Active,Black Bin Lge ,
HI-000413,Active,Green Bin Medium,
HI-000414,Active,Blanket Blue,
HI-000415,Active,Pillow,
HI-000416,Active,Single Bed Sheet Set,
HI-000417,Active,Real Confidence Box,
HI-000418,Active,Coloured Glass Beads in Container,
HI-000419,Active,Eye Sign,
HI-000421,Active,Red Carry Bag with Bottom cut out,
HI-000422,Active,Red Heart Pillow,
HI-000423,Active,TIMELINE PROCESS Laminated Cue Cards,
HI-000424,Active,Yes No Sign,
HI-000425,Active,Sleeping Matresses Blue,
HI-000426,Active,Sleeping Matresses Stripes,
HI-000427,Active,Facilitator Chair,
HI-000474,Active,Facilitator Lectern Clear Perspex,
HI-000428,Active,Facilitator Lectern Wooden,
HI-000429,Active,Balloons,
HI-000430,Active,Batteries D Cell,
HI-000431,Active,Batteries AA Loose,
HI-000432,Active,Batteries AAA Loose,
HI-000433,Active,Batteries Lithium 3V thin disc,
HI-000434,Active,Batteries C Cell,
HI-000435,Active,Batteries Stop Watch,
HI-000436,Active,Blu Tak 75g Packs,
HI-000437,Active,Bulldog Clips Medium 25mm,
HI-000438,Active,Bulldog Clips Lge 50mm,
HI-000439,Active,Bulldog Clips Sml 12mm,
HI-000440,Active,Hook and Loop Velcro 1.8Mtr,
HI-000441,Active,Stapler,
HI-000442,Active,Staples Boxes of,
HI-000443,Active,Stop Watch Plus 1 in Box R1,
HI-000444,Active,Counter Click Counters,
HI-000445,Active,Clip Boards,
HI-000446,Active,Clothes line,
HI-000447,Active,Crew Drop Box,
HI-000448,Active,Crew Name Tags,
HI-000449,Active,Crew Name Tag Holder,
HI-000450,Active,Crew Shirts Womens Sizes 10 14 18 and 22,
HI-000420,Active,Crew Shirts Mens Sizes M L and  2XL,
HI-000451,Active,Dot,
HI-000452,Active,Spider Trick Assorted Bugs Pack 1 of each,
HI-000453,Active,Golden Ball Real 2,
HI-000454,Active,Wicker Basket Sml,
HI-000455,Active,Real Man 1 Medallion,
HI-000456,Active,Real Woman 1 Medallion,
HI-000457,Active,Real Man 2 Golden Key,
HI-000458,Active,Real Woman 2 Golden Key,
HI-000460,Active,Ear Plugs,
HI-000461,Active,Flipchart Marker Blue,
HI-000462,Active,Flipchart Marker Green,
HI-000463,Active,Flipchart Marker Red,
HI-000464,Active,Flipchart Marker Black,
HI-000465,Active,Gaffa Tape Yellow,
HI-000469,Active,Gargage Bin Liner Rolls Sml 12 Ltr,
HI-000471,Active,Hole Punch 3 hole,
HI-000472,Active,Lantana Root & Rock,
HI-000473,Active,Assorted Lighters,
HI-000475,Active,Mask,
HI-000476,Active,Roles String 80 Mtr,
HI-000477,Active,Paper A4 Pln Paper Reem of 500 Sheets,
HI-000478,Active,Paper A4 3-Hole Paper Reem of 500 Sheets,
HI-000479,Active,Paper A5 Paper Reem of 500 Sheets,
HI-000480,Active,Participant Spare Name Tags,
HI-000481,Active,Spare Name Tags Holders,
HI-000482,Active,Pegs,
HI-000483,Active,Perm Marker Bullet Tip,
HI-000466,Active,Highlighter,
HI-000468,Active,Pencil,
HI-000470,Active,Pen,
HI-000408,Active,Pencil Sharpener,
HI-000277,Active,White Out,
HI-000484,Active,Rubber Eraser,
HI-000526,Active,Post Notes Sml,
HI-000527,Active,Post it Notes Med,
HI-000529,Active,Post it Notes Lge,
HI-000486,Active,Rubber bands,
HI-000487,Active,Scissors,
HI-000488,Active,Safety Knife,
HI-000498,Active,Safety Knife Replacement Blade Pack with Blades,
HI-000489,Active,Stick On Labels Sheets,
HI-000490,Active,Story Book,
HI-000491,Active,Textas Assorted Dark Colours Crew,
HI-000492,Active,Tic Tacs 50g Packs,
HI-000493,Active,White Tee Shirts Mens Sizes M L 2XL,
HI-000494,Active,White Tee Shirts Womens Sizes 22 18 12 and 10,
HI-000495,Active,Xylophone RSQ,
HI-000496,Active,Padlock and Key Spare,
HI-000497,Active,600ml Facilitator Water,
HI-000500,Active,Candelabra,
HI-000501,Active,Candelabra Drip Trays Stainless Steel,
HI-000502,Active,Candelabras on Stainless Steel Trays,
HI-000503,Active,Coconut Water 1Ltr Carton,
